,RMNH.INS.1271298_An_messeae - ND6 CDS,RMNH.INS.1271299_An_messeae - ND6 CDS,RMNH.INS.1271300_An_messeae - ND6 CDS,RMNH.INS.1271301_Cq_richiardii - ND6 CDS,RMNH.INS.1271302_Cq_richiardii - ND6 CDS,RMNH.INS.1271303_Cq_richiardii - ND6 CDS,RMNH.INS.1271304_Ae_vexans - ND6 CDS,RMNH.INS.1271305_Ae_vexans - ND6 CDS,RMNH.INS.1271306_Ae_vexans - ND6 CDS,RMNH.INS.1271307_Cs_annulata - ND6 CDS,RMNH.INS.1271308_Cs_annulata - ND6 CDS,RMNH.INS.1271309_Cs_annulata - ND6 CDS,RMNH.INS.1271310_An_claviger - ND6 CDS,RMNH.INS.1271311_An_claviger - ND6 CDS,RMNH.INS.1271312_An_claviger - ND6 CDS,RMNH.INS.1271313_Cx_modestus - ND6 CDS,RMNH.INS.1271314_Cx_modestus - ND6 CDS,RMNH.INS.1271315_Cx_modestus - ND6 CDS,RMNH.INS.1271316_Cx_territans - ND6 CDS,RMNH.INS.1271317_Cx_territans - ND6 CDS,RMNH.INS.1271318_Cx_territans - ND6 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271322_Cs_longiareolata - ND6 CDS,RMNH.INS.1271323_Cs_longiareolata - ND6 CDS,RMNH.INS.1271324_Cs_longiareolata - ND6 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271331_Ae_rusticus - ND6 CDS,RMNH.INS.1271332_Ae_rusticus - ND6 CDS,RMNH.INS.1271333_Ae_rusticus - ND6 CDS,RMNH.INS.1271334_Ae_communis - ND6 CDS,RMNH.INS.1271335_Ae_communis - ND6 CDS,RMNH.INS.1271336_Ae_communis - ND6 CDS,RMNH.INS.1271337_Ae_punctor - ND6 CDS,RMNH.INS.1271338_Ae_rusticus - ND6 CDS,RMNH.INS.1271339_Ae_punctor - ND6 CDS,RMNH.INS.1271340_Ae_geniculatus - ND6 CDS,RMNH.INS.1271341_Ae_geniculatus - ND6 CDS,RMNH.INS.1271342_Ae_geniculatus - ND6 CDS,RMNH.INS.1271344_Cs_subochrea - ND6 CDS,RMNH.INS.1271345_Cs_annulata - ND6 CDS,RMNH.INS.1271346_Ae_caspius - ND6 CDS,RMNH.INS.1271347_Ae_caspius - ND6 CDS,RMNH.INS.1271348_Ae_caspius - ND6 CDS,RMNH.INS.1271349_An_plumbeus - ND6 CDS,RMNH.INS.1271350_An_plumbeus - ND6 CDS,RMNH.INS.1271351_An_plumbeus - ND6 CDS,RMNH.INS.1271352_Cs_annulata - ND6 CDS,RMNH.INS.1271354_Cs_annulata - ND6 CDS,RMNH.INS.1271355_Cx_pipiens - ND6 CDS,RMNH.INS.1271356_Cx_pipiens - ND6 CDS,RMNH.INS.1271357_Cx_pipiens - ND6 CDS,RMNH.INS.1271358_Cs_morsitans - ND6 CDS,RMNH.INS.1271359_Cs_morsitans - ND6 CDS,RMNH.INS.1271360_Cs_morsitans - ND6 CDS,RMNH.INS.1271361_Ae_sticticus - ND6 CDS,RMNH.INS.1271362_Ae_sticticus - ND6 CDS,RMNH.INS.1271363_Ae_sticticus - ND6 CDS,RMNH.INS.1271367_Ae_detritus - ND6 CDS,RMNH.INS.1271368_Ae_detritus - ND6 CDS,RMNH.INS.1271369_Ae_caspius - ND6 CDS,RMNH.INS.1271370_Ae_flavescens - ND6 CDS,RMNH.INS.1271371_Ae_flavescens - ND6 CDS,RMNH.INS.1271372_Ae_flavescens - ND6 CDS,RMNH.INS.1271375_Ae_leucomelas - ND6 CDS,RMNH.INS.1271376_Ae_albopictus - ND6 CDS,RMNH.INS.1271377_Ae_albopictus - ND6 CDS,RMNH.INS.1271378_Ae_albopictus - ND6 CDS,RMNH.INS.1271379_Ae_japonicus - ND6 CDS,RMNH.INS.1271380_Ae_japonicus - ND6 CDS,RMNH.INS.1271381_Ae_japonicus - ND6 CDS,RMNH.INS.1271382_Ae_aegypti - ND6 CDS,RMNH.INS.1271383_Ae_aegypti - ND6 CDS,RMNH.INS.1271384_Ae_aegypti - ND6 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271389_Cs_ochroptera - ND6 CDS
RMNH.INS.1271358_Cs_morsitans - ND6 CDS,76.437,76.437,76.245,77.843,78.039,78.235,84.586,84.586,84.393,86.628,86.628,85.853,78.736,78.544,78.736,82.558,81.783,81.395,84.109,84.109,84.109,85.057,84.866,84.866,83.237,83.237,83.237,83.044,83.237,83.622,82.852,82.852,82.852,84.200,84.200,84.200,81.888,81.696,81.696,80.732,84.200,80.539,82.466,82.466,82.466,85.356,86.628,84.200,84.200,84.200,80.268,80.268,80.268,86.628,86.628,84.302,84.302,84.302,,99.808,100.000,81.801,81.801,81.888,82.081,81.888,84.200,83.430,83.430,83.237,82.081,81.503,81.696,81.503,82.081,82.081,82.081,83.237,82.852,83.430,84.866,92.678
RMNH.INS.1271359_Cs_morsitans - ND6 CDS,76.245,76.245,76.054,77.647,77.843,78.039,84.586,84.586,84.393,86.434,86.434,85.659,78.736,78.544,78.736,82.364,81.977,81.589,84.302,84.302,84.302,85.057,84.866,84.866,83.044,83.044,83.044,83.044,83.237,83.622,82.852,82.852,82.852,84.393,84.393,84.393,82.081,81.888,81.888,80.732,84.393,80.539,82.274,82.274,82.274,85.164,86.434,84.200,84.200,84.200,80.268,80.268,80.268,86.434,86.434,84.109,84.109,84.109,99.808,,99.808,81.801,81.801,81.888,81.888,81.696,84.200,83.430,83.430,83.237,82.081,81.310,81.503,81.310,82.081,82.081,82.081,83.430,83.044,83.237,84.866,92.678
RMNH.INS.1271360_Cs_morsitans - ND6 CDS,76.437,76.437,76.245,77.843,78.039,78.235,84.586,84.586,84.393,86.628,86.628,85.853,78.736,78.544,78.736,82.558,81.783,81.395,84.109,84.109,84.109,85.057,84.866,84.866,83.237,83.237,83.237,83.044,83.237,83.622,82.852,82.852,82.852,84.200,84.200,84.200,81.888,81.696,81.696,80.732,84.200,80.539,82.466,82.466,82.466,85.356,86.628,84.200,84.200,84.200,80.268,80.268,80.268,86.628,86.628,84.302,84.302,84.302,100.000,99.808,,81.801,81.801,81.888,82.081,81.888,84.200,83.430,83.430,83.237,82.081,81.503,81.696,81.503,82.081,82.081,82.081,83.237,82.852,83.430,84.866,92.678
RMNH.INS.1271361_Ae_sticticus - ND6 CDS,78.161,78.161,77.969,73.922,74.118,74.314,86.705,86.705,86.898,81.977,81.977,81.589,78.352,77.969,78.161,81.589,81.589,80.814,83.140,83.140,83.140,85.632,85.441,85.441,79.769,79.769,79.769,87.984,88.178,88.178,88.178,87.403,87.403,87.283,87.091,87.283,86.628,86.434,86.434,86.434,87.283,86.822,89.535,89.535,89.535,80.154,81.977,89.729,89.535,89.729,79.693,79.693,79.693,81.977,81.977,81.783,81.783,81.783,81.801,81.801,81.801,,100.000,99.806,88.566,88.566,89.535,88.178,88.178,87.984,89.535,83.430,83.044,83.430,86.434,86.434,86.434,83.237,83.622,83.430,85.441,83.815
RMNH.INS.1271362_Ae_sticticus - ND6 CDS,78.161,78.161,77.969,73.922,74.118,74.314,86.705,86.705,86.898,81.977,81.977,81.589,78.352,77.969,78.161,81.589,81.589,80.814,83.140,83.140,83.140,85.632,85.441,85.441,79.769,79.769,79.769,87.984,88.178,88.178,88.178,87.403,87.403,87.283,87.091,87.283,86.628,86.434,86.434,86.434,87.283,86.822,89.535,89.535,89.535,80.154,81.977,89.729,89.535,89.729,79.693,79.693,79.693,81.977,81.977,81.783,81.783,81.783,81.801,81.801,81.801,100.000,,99.806,88.566,88.566,89.535,88.178,88.178,87.984,89.535,83.430,83.044,83.430,86.434,86.434,86.434,83.237,83.622,83.430,85.441,83.815
RMNH.INS.1271363_Ae_sticticus - ND6 CDS,78.613,78.613,78.420,73.725,73.922,74.118,86.898,86.898,87.091,81.977,81.977,81.589,78.805,78.420,78.613,81.589,81.589,80.814,83.140,83.140,83.140,85.742,85.549,85.549,79.961,79.961,79.961,87.984,88.178,88.178,88.178,87.403,87.403,87.476,87.283,87.476,86.822,86.628,86.628,86.240,87.476,86.628,89.729,89.729,89.729,80.154,81.977,89.922,89.729,89.922,79.961,79.961,79.961,81.977,81.977,81.783,81.783,81.783,81.888,81.888,81.888,99.806,99.806,,88.566,88.566,89.729,88.372,88.372,88.178,89.341,83.430,83.044,83.430,86.434,86.434,86.434,83.430,83.815,83.622,85.549,83.622
RMNH.INS.1271367_Ae_detritus - ND6 CDS,76.493,76.493,76.301,73.725,73.922,74.118,89.210,89.210,89.403,83.527,83.527,82.752,75.915,75.723,75.915,81.783,81.589,81.008,83.140,83.140,83.140,87.669,87.476,87.476,83.622,83.622,83.622,91.667,91.473,91.279,91.473,91.085,90.891,88.247,88.054,88.247,89.922,89.729,89.729,88.178,88.247,88.372,90.504,90.504,90.504,83.622,83.527,91.667,91.667,91.667,78.805,78.805,78.805,83.527,83.527,81.008,81.008,81.008,82.081,81.888,82.081,88.566,88.566,88.566,,99.225,91.473,92.054,92.054,91.860,90.891,82.852,82.852,82.852,88.178,88.178,88.178,83.237,82.852,83.815,87.476,83.237
RMNH.INS.1271368_Ae_detritus - ND6 CDS,76.686,76.686,76.493,73.922,74.118,74.314,88.825,88.825,89.017,82.946,82.946,82.171,75.915,75.723,75.915,81.395,81.202,80.620,82.946,82.946,82.946,87.476,87.283,87.283,83.044,83.044,83.044,91.473,91.279,91.085,91.279,90.504,90.310,88.247,88.054,88.247,89.729,89.535,89.535,87.791,88.247,87.984,89.922,89.922,89.922,83.622,82.946,91.473,91.473,91.473,78.805,78.805,78.805,82.946,82.946,81.008,81.008,81.008,81.888,81.696,81.888,88.566,88.566,88.566,99.225,,91.279,91.473,91.473,91.279,90.504,82.659,82.659,82.659,88.372,88.372,88.372,83.044,82.659,83.622,87.283,83.044
RMNH.INS.1271369_Ae_caspius - ND6 CDS,79.191,79.191,78.998,74.510,74.706,74.902,92.293,92.293,92.100,83.721,83.721,83.333,79.576,79.191,79.383,81.395,81.202,80.620,83.333,83.333,83.333,88.439,88.247,88.247,81.503,81.503,81.503,92.248,92.442,92.054,92.442,91.473,91.279,90.366,90.173,90.366,90.504,90.310,90.310,88.372,90.366,88.372,92.248,92.248,92.248,83.237,83.721,99.806,99.806,99.806,80.732,80.732,80.732,83.721,83.721,82.946,82.946,82.946,84.200,84.200,84.200,89.535,89.535,89.729,91.473,91.279,,92.829,92.829,92.636,92.829,82.081,82.081,82.081,88.953,88.953,88.953,85.934,85.549,85.934,88.247,84.393
RMNH.INS.1271370_Ae_flavescens - ND6 CDS,78.420,78.420,78.227,74.118,74.314,74.510,89.403,89.403,89.210,83.915,83.915,83.333,78.227,77.842,78.035,81.589,81.589,81.008,82.752,82.752,82.752,88.054,87.861,87.861,81.888,81.888,81.888,96.899,96.705,96.318,96.705,96.318,95.930,89.788,89.595,89.788,90.504,90.310,90.310,89.535,89.788,89.535,92.248,92.248,92.248,82.274,83.915,93.023,93.023,93.023,80.347,80.347,80.347,83.915,83.915,81.977,81.977,81.977,83.430,83.430,83.430,88.178,88.178,88.372,92.054,91.473,92.829,,100.000,99.806,93.217,82.466,82.466,82.466,88.178,88.178,88.178,84.778,84.778,84.971,87.861,83.237
RMNH.INS.1271371_Ae_flavescens - ND6 CDS,78.420,78.420,78.227,74.118,74.314,74.510,89.403,89.403,89.210,83.915,83.915,83.333,78.227,77.842,78.035,81.589,81.589,81.008,82.752,82.752,82.752,88.054,87.861,87.861,81.888,81.888,81.888,96.899,96.705,96.318,96.705,96.318,95.930,89.788,89.595,89.788,90.504,90.310,90.310,89.535,89.788,89.535,92.248,92.248,92.248,82.274,83.915,93.023,93.023,93.023,80.347,80.347,80.347,83.915,83.915,81.977,81.977,81.977,83.430,83.430,83.430,88.178,88.178,88.372,92.054,91.473,92.829,100.000,,99.806,93.217,82.466,82.466,82.466,88.178,88.178,88.178,84.778,84.778,84.971,87.861,83.237
RMNH.INS.1271372_Ae_flavescens - ND6 CDS,78.227,78.227,78.035,74.118,74.314,74.510,89.210,89.210,89.017,83.721,83.721,83.140,78.035,77.649,77.842,81.395,81.395,80.814,82.558,82.558,82.558,87.861,87.669,87.669,81.696,81.696,81.696,96.705,96.512,96.124,96.512,96.124,95.736,89.595,89.403,89.595,90.310,90.116,90.116,89.729,89.595,89.729,92.054,92.054,92.054,82.081,83.721,92.829,92.829,92.829,80.154,80.154,80.154,83.721,83.721,81.783,81.783,81.783,83.237,83.237,83.237,87.984,87.984,88.178,91.860,91.279,92.636,99.806,99.806,,93.023,82.274,82.274,82.274,87.984,87.984,87.984,84.586,84.586,84.778,87.669,83.044
RMNH.INS.1271375_Ae_leucomelas - ND6 CDS,76.879,76.493,76.686,75.098,75.294,75.490,89.595,89.595,89.403,83.140,83.140,82.752,79.191,78.805,78.998,80.620,80.233,79.651,82.752,82.752,82.752,88.825,88.632,88.632,81.118,81.118,81.118,93.217,93.217,92.636,93.411,92.248,92.248,90.944,90.751,90.944,90.504,90.310,90.310,89.729,90.944,89.729,91.860,91.860,91.860,82.081,83.140,93.023,93.023,93.023,79.383,79.383,79.383,83.140,83.140,81.977,81.977,81.977,82.081,82.081,82.081,89.535,89.535,89.341,90.891,90.504,92.829,93.217,93.217,93.023,,82.659,82.659,82.659,88.372,88.372,88.372,84.586,84.971,84.586,88.632,83.622
RMNH.INS.1271376_Ae_albopictus - ND6 CDS,76.493,76.493,76.301,76.078,76.275,76.471,84.200,84.200,84.393,82.364,82.364,81.589,79.191,78.998,79.191,80.426,80.426,79.651,81.202,81.202,81.202,84.393,84.200,84.200,79.191,79.191,79.191,82.852,82.852,82.659,82.659,82.081,82.274,84.778,84.778,84.778,82.081,81.888,81.888,80.154,84.778,80.154,84.200,84.200,84.200,82.659,82.364,82.274,82.274,82.274,79.191,79.191,79.191,82.364,82.364,81.783,81.783,81.783,81.503,81.310,81.503,83.430,83.430,83.430,82.852,82.659,82.081,82.466,82.466,82.274,82.659,,99.615,100.000,80.925,80.925,80.925,83.622,83.044,84.200,84.200,83.237
RMNH.INS.1271377_Ae_albopictus - ND6 CDS,76.686,76.686,76.493,76.078,76.275,76.471,84.200,84.200,84.393,82.171,82.171,81.395,79.383,79.191,79.383,80.426,80.426,79.651,81.202,81.202,81.202,84.393,84.200,84.200,79.191,79.191,79.191,82.852,82.852,82.659,82.659,82.081,82.274,84.971,84.971,84.971,82.081,81.888,81.888,80.154,84.971,80.154,84.200,84.200,84.200,82.466,82.171,82.274,82.274,82.274,79.383,79.383,79.383,82.171,82.171,81.783,81.783,81.783,81.696,81.503,81.696,83.044,83.044,83.044,82.852,82.659,82.081,82.466,82.466,82.274,82.659,99.615,,99.615,80.925,80.925,80.925,84.008,83.430,84.586,84.200,83.430
RMNH.INS.1271378_Ae_albopictus - ND6 CDS,76.493,76.493,76.301,76.078,76.275,76.471,84.200,84.200,84.393,82.364,82.364,81.589,79.191,78.998,79.191,80.426,80.426,79.651,81.202,81.202,81.202,84.393,84.200,84.200,79.191,79.191,79.191,82.852,82.852,82.659,82.659,82.081,82.274,84.778,84.778,84.778,82.081,81.888,81.888,80.154,84.778,80.154,84.200,84.200,84.200,82.659,82.364,82.274,82.274,82.274,79.191,79.191,79.191,82.364,82.364,81.783,81.783,81.783,81.503,81.310,81.503,83.430,83.430,83.430,82.852,82.659,82.081,82.466,82.466,82.274,82.659,100.000,99.615,,80.925,80.925,80.925,83.622,83.044,84.200,84.200,83.237
RMNH.INS.1271379_Ae_japonicus - ND6 CDS,76.493,76.493,76.493,73.333,73.529,73.725,86.513,86.513,86.705,82.752,82.752,81.977,76.493,76.108,76.301,81.202,80.620,80.426,82.364,82.364,82.364,85.356,85.164,85.164,79.576,79.576,79.576,88.372,88.372,87.791,88.178,87.209,86.822,85.934,85.742,85.934,86.047,85.853,85.853,83.527,85.934,83.527,88.372,88.372,88.372,81.310,82.752,88.953,89.147,88.953,79.576,79.576,79.576,82.752,82.752,80.039,80.039,80.039,82.081,82.081,82.081,86.434,86.434,86.434,88.178,88.372,88.953,88.178,88.178,87.984,88.372,80.925,80.925,80.925,,100.000,100.000,83.044,82.852,83.430,85.164,83.237
RMNH.INS.1271380_Ae_japonicus - ND6 CDS,76.493,76.493,76.493,73.333,73.529,73.725,86.513,86.513,86.705,82.752,82.752,81.977,76.493,76.108,76.301,81.202,80.620,80.426,82.364,82.364,82.364,85.356,85.164,85.164,79.576,79.576,79.576,88.372,88.372,87.791,88.178,87.209,86.822,85.934,85.742,85.934,86.047,85.853,85.853,83.527,85.934,83.527,88.372,88.372,88.372,81.310,82.752,88.953,89.147,88.953,79.576,79.576,79.576,82.752,82.752,80.039,80.039,80.039,82.081,82.081,82.081,86.434,86.434,86.434,88.178,88.372,88.953,88.178,88.178,87.984,88.372,80.925,80.925,80.925,100.000,,100.000,83.044,82.852,83.430,85.164,83.237
RMNH.INS.1271381_Ae_japonicus - ND6 CDS,76.493,76.493,76.493,73.333,73.529,73.725,86.513,86.513,86.705,82.752,82.752,81.977,76.493,76.108,76.301,81.202,80.620,80.426,82.364,82.364,82.364,85.356,85.164,85.164,79.576,79.576,79.576,88.372,88.372,87.791,88.178,87.209,86.822,85.934,85.742,85.934,86.047,85.853,85.853,83.527,85.934,83.527,88.372,88.372,88.372,81.310,82.752,88.953,89.147,88.953,79.576,79.576,79.576,82.752,82.752,80.039,80.039,80.039,82.081,82.081,82.081,86.434,86.434,86.434,88.178,88.372,88.953,88.178,88.178,87.984,88.372,80.925,80.925,80.925,100.000,100.000,,83.044,82.852,83.430,85.164,83.237
RMNH.INS.1271382_Ae_aegypti - ND6 CDS,76.686,76.686,76.493,75.294,75.490,75.294,86.705,86.705,86.513,81.395,81.395,81.008,78.227,78.035,78.227,79.264,79.070,78.488,82.171,82.171,82.171,85.164,84.971,84.971,78.998,78.998,78.998,83.815,84.008,83.815,83.815,83.237,82.852,86.320,86.320,86.320,84.971,84.778,84.778,82.659,86.320,82.274,86.898,86.898,86.898,81.310,81.395,86.127,85.934,86.127,78.420,78.420,78.420,81.395,81.395,81.783,81.783,81.783,83.237,83.430,83.237,83.237,83.237,83.430,83.237,83.044,85.934,84.778,84.778,84.586,84.586,83.622,84.008,83.622,83.044,83.044,83.044,,98.459,99.422,84.971,84.008
RMNH.INS.1271383_Ae_aegypti - ND6 CDS,76.108,76.108,75.915,74.706,74.902,74.706,85.934,85.934,85.742,81.008,81.008,80.620,77.842,77.649,77.842,79.070,78.876,78.295,82.171,82.171,82.171,85.164,84.971,84.971,78.420,78.420,78.420,83.430,83.622,83.430,83.430,82.852,82.466,86.320,86.320,86.320,84.778,84.586,84.586,82.274,86.320,82.274,86.513,86.513,86.513,80.154,81.008,85.742,85.549,85.742,78.035,78.035,78.035,81.008,81.008,81.589,81.589,81.589,82.852,83.044,82.852,83.622,83.622,83.815,82.852,82.659,85.549,84.778,84.778,84.586,84.971,83.044,83.430,83.044,82.852,82.852,82.852,98.459,,98.266,84.971,83.237
RMNH.INS.1271384_Ae_aegypti - ND6 CDS,76.879,76.879,76.686,75.490,75.686,75.490,86.705,86.705,86.513,81.977,81.977,81.202,78.227,78.035,78.227,79.845,79.264,78.682,82.364,82.364,82.364,85.549,85.356,85.356,79.576,79.576,79.576,84.200,84.393,84.200,84.200,83.622,83.237,86.127,86.127,86.127,84.778,84.586,84.586,82.274,86.127,82.274,87.091,87.091,87.091,81.503,81.977,86.127,85.934,86.127,78.420,78.420,78.420,81.977,81.977,81.977,81.977,81.977,83.430,83.237,83.430,83.430,83.430,83.622,83.815,83.622,85.934,84.971,84.971,84.778,84.586,84.200,84.586,84.200,83.430,83.430,83.430,99.422,98.266,,85.356,84.008
RMNH.INS.1271386_Ae_cinereus_geminus - ND6 CDS,77.586,77.586,77.395,73.137,73.333,73.529,89.210,89.210,89.403,82.752,82.752,81.977,78.352,77.969,78.161,83.721,82.946,82.752,82.171,82.171,82.171,99.808,100.000,100.000,81.310,81.310,81.310,87.861,87.669,88.247,87.669,86.898,87.091,89.788,89.595,89.788,85.549,85.356,85.356,84.586,89.788,84.778,87.669,87.669,87.669,82.081,82.752,88.439,88.247,88.439,79.693,79.693,79.693,82.752,82.752,82.946,82.946,82.946,84.866,84.866,84.866,85.441,85.441,85.549,87.476,87.283,88.247,87.861,87.861,87.669,88.632,84.200,84.200,84.200,85.164,85.164,85.164,84.971,84.971,85.356,,84.971
RMNH.INS.1271389_Cs_ochroptera - ND6 CDS,78.035,78.035,77.842,77.843,78.039,78.235,85.356,85.356,85.549,87.597,87.597,86.822,79.769,79.383,79.576,83.721,82.946,82.558,85.271,85.271,85.271,85.164,84.971,84.971,84.971,84.971,84.971,84.393,84.200,84.971,84.200,83.622,83.815,84.778,84.778,84.778,83.044,82.852,82.852,82.659,84.778,82.466,83.815,83.815,83.815,86.705,87.597,84.393,84.586,84.393,82.081,82.081,82.081,87.597,87.597,83.721,83.721,83.721,92.678,92.678,92.678,83.815,83.815,83.622,83.237,83.044,84.393,83.237,83.237,83.044,83.622,83.237,83.430,83.237,83.237,83.237,83.237,84.008,83.237,84.008,84.971,
