,RMNH.INS.1271298_An_messeae - tRNA-Met gene,RMNH.INS.1271299_An_messeae - tRNA-Met gene,RMNH.INS.1271300_An_messeae - tRNA-Met gene,RMNH.INS.1271301_Cq_richiardii - tRNA-Met gene,RMNH.INS.1271302_Cq_richiardii - tRNA-Met gene,RMNH.INS.1271303_Cq_richiardii - tRNA-Met gene,RMNH.INS.1271304_Ae_vexans - tRNA-Met gene,RMNH.INS.1271305_Ae_vexans - tRNA-Met gene,RMNH.INS.1271306_Ae_vexans - tRNA-Met gene,RMNH.INS.1271307_Cs_annulata - tRNA-Met gene,RMNH.INS.1271308_Cs_annulata - tRNA-Met gene,RMNH.INS.1271309_Cs_annulata - tRNA-Met gene,RMNH.INS.1271310_An_claviger - tRNA-Met gene,RMNH.INS.1271311_An_claviger - tRNA-Met gene,RMNH.INS.1271312_An_claviger - tRNA-Met gene,RMNH.INS.1271313_Cx_modestus - tRNA-Met gene,RMNH.INS.1271314_Cx_modestus - tRNA-Met gene,RMNH.INS.1271315_Cx_modestus - tRNA-Met gene,RMNH.INS.1271316_Cx_territans - tRNA-Met gene,RMNH.INS.1271317_Cx_territans - tRNA-Met gene,RMNH.INS.1271318_Cx_territans - tRNA-Met gene,RMNH.INS.1271319_Ae_cinereus - tRNA-Met gene,RMNH.INS.1271320_Ae_cinereus - tRNA-Met gene,RMNH.INS.1271321_Ae_cinereus - tRNA-Met gene,RMNH.INS.1271322_Cs_longiareolata - tRNA-Met gene,RMNH.INS.1271323_Cs_longiareolata - tRNA-Met gene,RMNH.INS.1271324_Cs_longiareolata - tRNA-Met gene,RMNH.INS.1271325_Ae_annulipes_cantans - tRNA-Met gene,RMNH.INS.1271326_Ae_annulipes_cantans - tRNA-Met gene,RMNH.INS.1271327_Ae_annulipes_cantans - tRNA-Met gene,RMNH.INS.1271328_Ae_annulipes_cantans - tRNA-Met gene,RMNH.INS.1271329_Ae_annulipes_cantans - tRNA-Met gene,RMNH.INS.1271330_Ae_annulipes_cantans - tRNA-Met gene,RMNH.INS.1271331_Ae_rusticus - tRNA-Met gene,RMNH.INS.1271332_Ae_rusticus - tRNA-Met gene,RMNH.INS.1271333_Ae_rusticus - tRNA-Met gene,RMNH.INS.1271334_Ae_communis - tRNA-Met gene,RMNH.INS.1271335_Ae_communis - tRNA-Met gene,RMNH.INS.1271336_Ae_communis - tRNA-Met gene,RMNH.INS.1271337_Ae_punctor - tRNA-Met gene,RMNH.INS.1271338_Ae_rusticus - tRNA-Met gene,RMNH.INS.1271339_Ae_punctor - tRNA-Met gene,RMNH.INS.1271340_Ae_geniculatus - tRNA-Met gene,RMNH.INS.1271341_Ae_geniculatus - tRNA-Met gene,RMNH.INS.1271342_Ae_geniculatus - tRNA-Met gene,RMNH.INS.1271344_Cs_subochrea - tRNA-Met gene,RMNH.INS.1271345_Cs_annulata - tRNA-Met gene,RMNH.INS.1271346_Ae_caspius - tRNA-Met gene,RMNH.INS.1271347_Ae_caspius - tRNA-Met gene,RMNH.INS.1271348_Ae_caspius - tRNA-Met gene,RMNH.INS.1271349_An_plumbeus_partial_genome - tRNA-Met gene,RMNH.INS.1271350_An_plumbeus_partial_genome - tRNA-Met gene,RMNH.INS.1271351_An_plumbeus_partial_genome - tRNA-Met gene,RMNH.INS.1271352_Cs_annulata - tRNA-Met gene,RMNH.INS.1271354_Cs_annulata - tRNA-Met gene,RMNH.INS.1271355_Cx_pipiens - tRNA-Met gene,RMNH.INS.1271356_Cx_pipiens - tRNA-Met gene,RMNH.INS.1271357_Cx_pipiens - tRNA-Met gene,RMNH.INS.1271358_Cs_morsitans - tRNA-Met gene,RMNH.INS.1271359_Cs_morsitans - tRNA-Met gene,RMNH.INS.1271360_Cs_morsitans - tRNA-Met gene,RMNH.INS.1271361_Ae_sticticus - tRNA-Met gene,RMNH.INS.1271362_Ae_sticticus - tRNA-Met gene,RMNH.INS.1271363_Ae_sticticus - tRNA-Met gene,RMNH.INS.1271367_Ae_detritus - tRNA-Met gene,RMNH.INS.1271368_Ae_detritus - tRNA-Met gene,RMNH.INS.1271369_Ae_caspius - tRNA-Met gene,RMNH.INS.1271370_Ae_flavescens - tRNA-Met gene,RMNH.INS.1271371_Ae_flavescens - tRNA-Met gene,RMNH.INS.1271372_Ae_flavescens - tRNA-Met gene,RMNH.INS.1271375_Ae_leucomelas - tRNA-Met gene,RMNH.INS.1271376_Ae_albopictus - tRNA-Met gene,RMNH.INS.1271377_Ae_albopictus - tRNA-Met gene,RMNH.INS.1271378_Ae_albopictus - tRNA-Met gene,RMNH.INS.1271379_Ae_japonicus - tRNA-Met gene,RMNH.INS.1271380_Ae_japonicus - tRNA-Met gene,RMNH.INS.1271381_Ae_japonicus - tRNA-Met gene,RMNH.INS.1271382_Ae_aegypti - tRNA-Met gene,RMNH.INS.1271383_Ae_aegypti - tRNA-Met gene,RMNH.INS.1271384_Ae_aegypti - tRNA-Met gene,RMNH.INS.1271386_Ae_cinereus - tRNA-Met gene,RMNH.INS.1271389_Cs_ochroptera - tRNA-Met gene
RMNH.INS.1271377_Ae_albopictus - tRNA-Met gene,98.551,98.551,98.551,92.754,91.304,91.304,98.551,98.551,98.551,98.551,98.551,98.551,95.652,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,95.652,95.652,95.652,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,100,,100,97.101,97.101,97.101,98.551,98.551,98.551,97.101,97.101
RMNH.INS.1271378_Ae_albopictus - tRNA-Met gene,98.551,98.551,98.551,92.754,91.304,91.304,98.551,98.551,98.551,98.551,98.551,98.551,95.652,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,95.652,95.652,95.652,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,94.203,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,100,100,,97.101,97.101,97.101,98.551,98.551,98.551,97.101,97.101
RMNH.INS.1271379_Ae_japonicus - tRNA-Met gene,98.551,98.551,98.551,95.652,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,98.551,100,100,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,,100,100,98.551,98.551,98.551,97.101,100
RMNH.INS.1271380_Ae_japonicus - tRNA-Met gene,98.551,98.551,98.551,95.652,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,98.551,100,100,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,100,,100,98.551,98.551,98.551,97.101,100
RMNH.INS.1271381_Ae_japonicus - tRNA-Met gene,98.551,98.551,98.551,95.652,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,98.551,100,100,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,100,100,,98.551,98.551,98.551,97.101,100
RMNH.INS.1271382_Ae_aegypti - tRNA-Met gene,100,100,100,94.203,92.754,92.754,100,100,100,100,100,100,97.101,98.551,98.551,98.551,100,100,100,100,100,98.551,98.551,98.551,97.101,97.101,97.101,100,100,100,100,100,100,100,100,100,100,100,100,98.551,100,100,100,100,100,100,100,100,100,100,98.551,98.551,98.551,100,100,100,100,100,95.652,95.652,95.652,100,100,100,100,100,100,100,100,100,100,98.551,98.551,98.551,98.551,98.551,98.551,,100,100,98.551,98.551
RMNH.INS.1271383_Ae_aegypti - tRNA-Met gene,100,100,100,94.203,92.754,92.754,100,100,100,100,100,100,97.101,98.551,98.551,98.551,100,100,100,100,100,98.551,98.551,98.551,97.101,97.101,97.101,100,100,100,100,100,100,100,100,100,100,100,100,98.551,100,100,100,100,100,100,100,100,100,100,98.551,98.551,98.551,100,100,100,100,100,95.652,95.652,95.652,100,100,100,100,100,100,100,100,100,100,98.551,98.551,98.551,98.551,98.551,98.551,100,,100,98.551,98.551
RMNH.INS.1271384_Ae_aegypti - tRNA-Met gene,100,100,100,94.203,92.754,92.754,100,100,100,100,100,100,97.101,98.551,98.551,98.551,100,100,100,100,100,98.551,98.551,98.551,97.101,97.101,97.101,100,100,100,100,100,100,100,100,100,100,100,100,98.551,100,100,100,100,100,100,100,100,100,100,98.551,98.551,98.551,100,100,100,100,100,95.652,95.652,95.652,100,100,100,100,100,100,100,100,100,100,98.551,98.551,98.551,98.551,98.551,98.551,100,100,,98.551,98.551
RMNH.INS.1271386_Ae_cinereus - tRNA-Met gene,98.551,98.551,98.551,92.754,91.304,91.304,98.551,98.551,98.551,98.551,98.551,98.551,95.652,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,100,100,100,95.652,95.652,95.652,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,97.101,97.101,97.101,98.551,98.551,98.551,,97.101
RMNH.INS.1271389_Cs_ochroptera - tRNA-Met gene,98.551,98.551,98.551,95.652,94.203,94.203,98.551,98.551,98.551,98.551,98.551,98.551,98.551,100,100,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,98.551,97.101,97.101,97.101,100,100,100,98.551,98.551,98.551,97.101,
