,RMNH.INS.1271298_An_messeae - COX3 CDS,RMNH.INS.1271299_An_messeae - COX3 CDS,RMNH.INS.1271300_An_messeae - COX3 CDS,RMNH.INS.1271301_Cq_richiardii - COX3 CDS,RMNH.INS.1271302_Cq_richiardii - COX3 CDS,RMNH.INS.1271303_Cq_richiardii - COX3 CDS,RMNH.INS.1271304_Ae_vexans - COX3 CDS,RMNH.INS.1271305_Ae_vexans - COX3 CDS,RMNH.INS.1271306_Ae_vexans - COX3 CDS,RMNH.INS.1271307_Cs_annulata - COX3 CDS,RMNH.INS.1271308_Cs_annulata - COX3 CDS,RMNH.INS.1271309_Cs_annulata - COX3 CDS,RMNH.INS.1271310_An_claviger - COX3 CDS,RMNH.INS.1271311_An_claviger - COX3 CDS,RMNH.INS.1271312_An_claviger - COX3 CDS,RMNH.INS.1271313_Cx_modestus - COX3 CDS,RMNH.INS.1271314_Cx_modestus - COX3 CDS,RMNH.INS.1271315_Cx_modestus - COX3 CDS,RMNH.INS.1271316_Cx_territans - COX3 CDS,RMNH.INS.1271317_Cx_territans - COX3 CDS,RMNH.INS.1271318_Cx_territans - COX3 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271322_Cs_longiareolata - COX3 CDS,RMNH.INS.1271323_Cs_longiareolata - COX3 CDS,RMNH.INS.1271324_Cs_longiareolata - COX3 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271331_Ae_rusticus - COX3 CDS,RMNH.INS.1271332_Ae_rusticus - COX3 CDS,RMNH.INS.1271333_Ae_rusticus - COX3 CDS,RMNH.INS.1271334_Ae_communis - COX3 CDS,RMNH.INS.1271335_Ae_communis - COX3 CDS,RMNH.INS.1271336_Ae_communis - COX3 CDS,RMNH.INS.1271337_Ae_punctor - COX3 CDS,RMNH.INS.1271338_Ae_rusticus - COX3 CDS,RMNH.INS.1271339_Ae_punctor - COX3 CDS,RMNH.INS.1271340_Ae_geniculatus - COX3 CDS,RMNH.INS.1271341_Ae_geniculatus - COX3 CDS,RMNH.INS.1271342_Ae_geniculatus - COX3 CDS,RMNH.INS.1271344_Cs_subochrea - COX3 CDS,RMNH.INS.1271345_Cs_annulata - COX3 CDS,RMNH.INS.1271346_Ae_caspius - COX3 CDS,RMNH.INS.1271347_Ae_caspius - COX3 CDS,RMNH.INS.1271348_Ae_caspius - COX3 CDS,RMNH.INS.1271349_An_plumbeus - COX3 CDS,RMNH.INS.1271350_An_plumbeus - COX3 CDS,RMNH.INS.1271351_An_plumbeus - COX3 CDS,RMNH.INS.1271352_Cs_annulata - COX3 CDS,RMNH.INS.1271354_Cs_annulata - COX3 CDS,RMNH.INS.1271355_Cx_pipiens - COX3 CDS,RMNH.INS.1271356_Cx_pipiens - COX3 CDS,RMNH.INS.1271357_Cx_pipiens - COX3 CDS,RMNH.INS.1271358_Cs_morsitans - COX3 CDS,RMNH.INS.1271359_Cs_morsitans - COX3 CDS,RMNH.INS.1271360_Cs_morsitans - COX3 CDS,RMNH.INS.1271361_Ae_sticticus - COX3 CDS,RMNH.INS.1271362_Ae_sticticus - COX3 CDS,RMNH.INS.1271363_Ae_sticticus - COX3 CDS,RMNH.INS.1271367_Ae_detritus - COX3 CDS,RMNH.INS.1271368_Ae_detritus - COX3 CDS,RMNH.INS.1271369_Ae_caspius - COX3 CDS,RMNH.INS.1271370_Ae_flavescens - COX3 CDS,RMNH.INS.1271371_Ae_flavescens - COX3 CDS,RMNH.INS.1271372_Ae_flavescens - COX3 CDS,RMNH.INS.1271375_Ae_leucomelas - COX3 CDS,RMNH.INS.1271376_Ae_albopictus - COX3 CDS,RMNH.INS.1271377_Ae_albopictus - COX3 CDS,RMNH.INS.1271378_Ae_albopictus - COX3 CDS,RMNH.INS.1271379_Ae_japonicus - COX3 CDS,RMNH.INS.1271380_Ae_japonicus - COX3 CDS,RMNH.INS.1271381_Ae_japonicus - COX3 CDS,RMNH.INS.1271382_Ae_aegypti - COX3 CDS,RMNH.INS.1271383_Ae_aegypti - COX3 CDS,RMNH.INS.1271384_Ae_aegypti - COX3 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271389_Cs_ochroptera - COX3 CDS
RMNH.INS.1271358_Cs_morsitans - COX3 CDS,84.537,84.791,84.918,85.678,85.425,85.425,86.439,86.439,86.565,88.086,87.959,88.086,84.791,84.791,84.664,87.072,86.946,87.199,86.439,86.439,86.439,85.805,85.551,85.425,87.579,87.579,87.579,87.706,87.833,88.086,87.579,88.086,88.340,85.678,85.551,85.551,86.692,86.312,86.312,86.946,85.551,86.946,86.692,86.692,86.692,88.847,87.959,85.932,86.185,85.932,84.664,84.664,84.664,87.959,87.959,88.593,88.466,88.340,,100.000,100.000,86.185,86.185,86.058,86.058,85.805,86.185,87.326,87.326,87.326,86.946,86.312,86.312,86.312,87.452,87.452,87.833,86.692,86.565,86.565,85.805,90.875
RMNH.INS.1271359_Cs_morsitans - COX3 CDS,84.537,84.791,84.918,85.678,85.425,85.425,86.439,86.439,86.565,88.086,87.959,88.086,84.791,84.791,84.664,87.072,86.946,87.199,86.439,86.439,86.439,85.805,85.551,85.425,87.579,87.579,87.579,87.706,87.833,88.086,87.579,88.086,88.340,85.678,85.551,85.551,86.692,86.312,86.312,86.946,85.551,86.946,86.692,86.692,86.692,88.847,87.959,85.932,86.185,85.932,84.664,84.664,84.664,87.959,87.959,88.593,88.466,88.340,100.000,,100.000,86.185,86.185,86.058,86.058,85.805,86.185,87.326,87.326,87.326,86.946,86.312,86.312,86.312,87.452,87.452,87.833,86.692,86.565,86.565,85.805,90.875
RMNH.INS.1271360_Cs_morsitans - COX3 CDS,84.537,84.791,84.918,85.678,85.425,85.425,86.439,86.439,86.565,88.086,87.959,88.086,84.791,84.791,84.664,87.072,86.946,87.199,86.439,86.439,86.439,85.805,85.551,85.425,87.579,87.579,87.579,87.706,87.833,88.086,87.579,88.086,88.340,85.678,85.551,85.551,86.692,86.312,86.312,86.946,85.551,86.946,86.692,86.692,86.692,88.847,87.959,85.932,86.185,85.932,84.664,84.664,84.664,87.959,87.959,88.593,88.466,88.340,100.000,100.000,,86.185,86.185,86.058,86.058,85.805,86.185,87.326,87.326,87.326,86.946,86.312,86.312,86.312,87.452,87.452,87.833,86.692,86.565,86.565,85.805,90.875
RMNH.INS.1271361_Ae_sticticus - COX3 CDS,84.664,84.791,84.791,85.932,85.678,85.932,90.114,90.114,89.987,86.819,86.946,87.072,83.523,83.523,83.397,86.185,86.185,86.312,86.692,86.692,86.692,89.227,88.973,88.847,86.439,86.439,86.439,92.395,92.776,92.649,92.269,92.649,92.902,91.001,90.875,90.875,90.494,90.368,90.368,90.241,90.875,90.241,89.734,89.734,89.734,86.946,86.946,91.635,91.635,91.888,83.523,83.523,83.523,86.946,86.946,86.819,86.692,86.819,86.185,86.185,86.185,,100.000,99.873,89.734,89.354,91.635,92.015,92.015,92.142,92.395,87.706,87.706,87.706,89.227,89.227,89.227,88.593,87.706,88.213,89.227,85.551
RMNH.INS.1271362_Ae_sticticus - COX3 CDS,84.664,84.791,84.791,85.932,85.678,85.932,90.114,90.114,89.987,86.819,86.946,87.072,83.523,83.523,83.397,86.185,86.185,86.312,86.692,86.692,86.692,89.227,88.973,88.847,86.439,86.439,86.439,92.395,92.776,92.649,92.269,92.649,92.902,91.001,90.875,90.875,90.494,90.368,90.368,90.241,90.875,90.241,89.734,89.734,89.734,86.946,86.946,91.635,91.635,91.888,83.523,83.523,83.523,86.946,86.946,86.819,86.692,86.819,86.185,86.185,86.185,100.000,,99.873,89.734,89.354,91.635,92.015,92.015,92.142,92.395,87.706,87.706,87.706,89.227,89.227,89.227,88.593,87.706,88.213,89.227,85.551
RMNH.INS.1271363_Ae_sticticus - COX3 CDS,84.537,84.664,84.664,85.805,85.551,85.805,89.987,89.987,89.861,86.946,87.072,87.199,83.397,83.397,83.270,86.058,86.058,86.185,86.565,86.565,86.565,89.100,88.847,88.720,86.565,86.565,86.565,92.269,92.649,92.522,92.142,92.522,92.776,90.875,90.748,90.748,90.368,90.241,90.241,90.114,90.748,90.114,89.607,89.607,89.607,86.819,87.072,91.635,91.508,91.762,83.397,83.397,83.397,87.072,87.072,86.946,86.819,86.946,86.058,86.058,86.058,99.873,99.873,,89.861,89.480,91.508,91.888,91.888,92.015,92.269,87.579,87.579,87.579,89.354,89.354,89.354,88.466,87.579,88.086,89.100,85.425
RMNH.INS.1271367_Ae_detritus - COX3 CDS,84.918,85.044,85.171,85.171,84.918,85.044,89.734,89.861,89.861,86.946,86.819,86.946,83.143,83.143,83.270,87.452,87.326,87.452,86.185,86.185,86.185,87.959,87.706,87.833,85.551,85.551,85.551,93.283,93.156,93.156,93.156,93.156,93.029,91.255,91.128,91.128,90.748,90.368,90.368,88.973,91.128,88.973,89.987,89.987,89.987,86.312,86.819,91.762,91.635,91.508,85.298,85.298,85.298,86.819,86.819,88.340,88.213,88.086,86.058,86.058,86.058,89.734,89.734,89.861,,99.240,91.635,92.649,92.649,92.776,92.522,88.847,88.847,88.847,90.114,90.114,90.114,88.593,88.847,89.100,87.959,86.946
RMNH.INS.1271368_Ae_detritus - COX3 CDS,84.284,84.411,84.537,84.918,84.664,84.791,89.734,89.607,89.861,86.819,86.946,87.072,83.016,83.016,83.143,87.199,87.072,87.199,85.678,85.678,85.678,87.833,87.579,87.706,85.298,85.298,85.298,92.649,92.522,92.522,92.522,92.522,92.395,91.001,90.875,90.875,90.368,89.987,89.987,88.593,90.875,88.593,89.607,89.607,89.607,86.185,86.946,91.381,91.255,91.128,85.044,85.044,85.044,86.946,86.946,87.833,87.706,87.579,85.805,85.805,85.805,89.354,89.354,89.480,99.240,,91.255,92.015,92.015,92.142,92.015,88.720,88.720,88.720,89.987,89.987,89.987,88.847,89.100,89.354,87.833,86.819
RMNH.INS.1271369_Ae_caspius - COX3 CDS,84.664,84.791,85.044,86.185,85.932,86.058,91.635,91.762,91.762,87.579,87.452,87.579,84.411,84.411,84.537,87.959,87.326,87.452,87.072,87.072,87.072,88.466,88.213,88.340,85.932,85.932,85.932,94.170,94.043,93.663,94.043,93.790,94.043,92.395,92.269,92.269,92.142,91.888,91.888,91.255,92.269,91.255,89.607,89.607,89.607,87.452,87.452,99.113,100.000,99.240,84.791,84.791,84.791,87.452,87.452,88.593,88.466,88.466,86.185,86.185,86.185,91.635,91.635,91.508,91.635,91.255,,93.790,93.790,93.916,93.536,88.847,88.847,88.847,90.241,90.241,90.241,90.368,89.861,89.861,88.340,87.452
RMNH.INS.1271370_Ae_flavescens - COX3 CDS,85.044,85.171,85.171,86.185,85.932,85.932,91.128,91.255,91.255,87.199,87.072,87.199,84.157,84.157,84.284,86.819,86.439,86.565,87.199,87.199,87.199,88.720,88.466,88.593,86.439,86.439,86.439,97.465,97.338,97.592,97.338,97.085,97.085,92.395,92.522,92.522,93.409,93.029,93.029,92.269,92.522,92.269,91.128,91.128,91.128,87.706,87.072,93.663,93.790,93.536,85.678,85.678,85.678,87.072,87.072,88.086,87.959,87.833,87.326,87.326,87.326,92.015,92.015,91.888,92.649,92.015,93.790,,100.000,99.873,94.170,89.227,89.227,89.227,90.114,90.114,90.114,90.368,89.987,90.368,88.847,87.579
RMNH.INS.1271371_Ae_flavescens - COX3 CDS,85.044,85.171,85.171,86.185,85.932,85.932,91.128,91.255,91.255,87.199,87.072,87.199,84.157,84.157,84.284,86.819,86.439,86.565,87.199,87.199,87.199,88.720,88.466,88.593,86.439,86.439,86.439,97.465,97.338,97.592,97.338,97.085,97.085,92.395,92.522,92.522,93.409,93.029,93.029,92.269,92.522,92.269,91.128,91.128,91.128,87.706,87.072,93.663,93.790,93.536,85.678,85.678,85.678,87.072,87.072,88.086,87.959,87.833,87.326,87.326,87.326,92.015,92.015,91.888,92.649,92.015,93.790,100.000,,99.873,94.170,89.227,89.227,89.227,90.114,90.114,90.114,90.368,89.987,90.368,88.847,87.579
RMNH.INS.1271372_Ae_flavescens - COX3 CDS,85.171,85.298,85.298,86.185,85.932,85.932,91.255,91.381,91.381,87.326,87.199,87.326,84.030,84.030,84.157,86.946,86.565,86.692,87.326,87.326,87.326,88.847,88.593,88.720,86.439,86.439,86.439,97.592,97.465,97.719,97.465,97.212,97.212,92.522,92.649,92.649,93.536,93.156,93.156,92.395,92.649,92.395,91.255,91.255,91.255,87.706,87.199,93.790,93.916,93.663,85.805,85.805,85.805,87.199,87.199,88.086,87.959,87.833,87.326,87.326,87.326,92.142,92.142,92.015,92.776,92.142,93.916,99.873,99.873,,94.297,89.227,89.227,89.227,90.114,90.114,90.114,90.368,89.987,90.368,88.973,87.579
RMNH.INS.1271375_Ae_leucomelas - COX3 CDS,85.298,85.425,85.298,85.425,85.171,85.298,90.748,90.875,90.875,86.565,86.439,86.565,84.030,84.030,84.157,87.579,87.452,87.579,87.199,87.199,87.199,87.706,87.452,87.579,86.312,86.312,86.312,94.930,95.057,95.057,94.804,95.311,95.057,92.015,91.888,91.888,91.508,91.381,91.381,90.494,91.888,90.494,90.494,90.494,90.494,87.072,86.439,93.536,93.536,93.409,84.791,84.791,84.791,86.439,86.439,88.086,87.959,87.833,86.946,86.946,86.946,92.395,92.395,92.269,92.522,92.015,93.536,94.170,94.170,94.297,,89.227,89.227,89.227,89.861,89.861,89.861,89.227,89.607,89.734,87.833,86.946
RMNH.INS.1271376_Ae_albopictus - COX3 CDS,83.143,83.270,83.143,87.579,87.326,87.579,89.607,89.607,89.734,87.706,87.579,87.706,84.030,84.030,84.157,85.932,85.678,85.805,85.298,85.298,85.298,87.833,87.579,87.706,86.946,86.946,86.946,90.875,90.494,90.114,90.748,90.368,90.368,88.847,88.720,88.720,88.593,88.340,88.340,87.706,88.720,87.706,88.973,88.973,88.973,87.579,87.579,88.847,88.847,88.847,84.157,84.157,84.157,87.579,87.579,86.692,86.565,86.439,86.312,86.312,86.312,87.706,87.706,87.579,88.847,88.720,88.847,89.227,89.227,89.227,89.227,,100.000,100.000,87.959,87.959,87.833,89.354,88.973,89.227,87.959,87.199
RMNH.INS.1271377_Ae_albopictus - COX3 CDS,83.143,83.270,83.143,87.579,87.326,87.579,89.607,89.607,89.734,87.706,87.579,87.706,84.030,84.030,84.157,85.932,85.678,85.805,85.298,85.298,85.298,87.833,87.579,87.706,86.946,86.946,86.946,90.875,90.494,90.114,90.748,90.368,90.368,88.847,88.720,88.720,88.593,88.340,88.340,87.706,88.720,87.706,88.973,88.973,88.973,87.579,87.579,88.847,88.847,88.847,84.157,84.157,84.157,87.579,87.579,86.692,86.565,86.439,86.312,86.312,86.312,87.706,87.706,87.579,88.847,88.720,88.847,89.227,89.227,89.227,89.227,100.000,,100.000,87.959,87.959,87.833,89.354,88.973,89.227,87.959,87.199
RMNH.INS.1271378_Ae_albopictus - COX3 CDS,83.143,83.270,83.143,87.579,87.326,87.579,89.607,89.607,89.734,87.706,87.579,87.706,84.030,84.030,84.157,85.932,85.678,85.805,85.298,85.298,85.298,87.833,87.579,87.706,86.946,86.946,86.946,90.875,90.494,90.114,90.748,90.368,90.368,88.847,88.720,88.720,88.593,88.340,88.340,87.706,88.720,87.706,88.973,88.973,88.973,87.579,87.579,88.847,88.847,88.847,84.157,84.157,84.157,87.579,87.579,86.692,86.565,86.439,86.312,86.312,86.312,87.706,87.706,87.579,88.847,88.720,88.847,89.227,89.227,89.227,89.227,100.000,100.000,,87.959,87.959,87.833,89.354,88.973,89.227,87.959,87.199
RMNH.INS.1271379_Ae_japonicus - COX3 CDS,83.397,83.270,83.523,85.298,85.044,85.298,89.480,89.480,89.354,85.805,85.678,85.805,82.383,82.383,82.510,87.833,87.199,87.452,86.312,86.312,86.312,87.579,87.326,87.452,85.551,85.551,85.551,91.001,90.621,90.621,91.128,90.748,91.001,89.354,89.354,89.354,89.607,89.354,89.354,88.973,89.354,88.973,89.861,89.861,89.861,85.298,85.678,89.987,90.241,89.987,84.030,84.030,84.030,85.678,85.678,88.213,88.086,88.213,87.452,87.452,87.452,89.227,89.227,89.354,90.114,89.987,90.241,90.114,90.114,90.114,89.861,87.959,87.959,87.959,,100.000,99.493,89.354,89.100,89.227,87.326,87.579
RMNH.INS.1271380_Ae_japonicus - COX3 CDS,83.397,83.270,83.523,85.298,85.044,85.298,89.480,89.480,89.354,85.805,85.678,85.805,82.383,82.383,82.510,87.833,87.199,87.452,86.312,86.312,86.312,87.579,87.326,87.452,85.551,85.551,85.551,91.001,90.621,90.621,91.128,90.748,91.001,89.354,89.354,89.354,89.607,89.354,89.354,88.973,89.354,88.973,89.861,89.861,89.861,85.298,85.678,89.987,90.241,89.987,84.030,84.030,84.030,85.678,85.678,88.213,88.086,88.213,87.452,87.452,87.452,89.227,89.227,89.354,90.114,89.987,90.241,90.114,90.114,90.114,89.861,87.959,87.959,87.959,100.000,,99.493,89.354,89.100,89.227,87.326,87.579
RMNH.INS.1271381_Ae_japonicus - COX3 CDS,83.397,83.270,83.523,85.298,85.044,85.298,89.480,89.480,89.607,85.805,85.678,85.805,82.636,82.636,82.510,87.579,87.199,87.452,86.312,86.312,86.312,88.086,87.833,87.706,85.298,85.298,85.298,91.001,90.621,90.621,91.128,90.494,90.748,89.354,89.354,89.354,89.607,89.354,89.354,89.227,89.354,89.227,89.987,89.987,89.987,85.298,85.678,89.987,90.241,89.987,84.030,84.030,84.030,85.678,85.678,88.340,88.213,88.340,87.833,87.833,87.833,89.227,89.227,89.354,90.114,89.987,90.241,90.114,90.114,90.114,89.861,87.833,87.833,87.833,99.493,99.493,,89.607,89.100,89.227,87.833,87.833
RMNH.INS.1271382_Ae_aegypti - COX3 CDS,82.510,82.636,82.636,85.551,85.298,85.551,90.494,90.494,90.621,87.452,87.326,87.199,83.270,83.270,83.143,86.692,86.565,86.565,85.551,85.425,85.551,88.213,87.959,87.833,86.312,86.312,86.312,90.621,90.494,90.368,90.494,90.621,90.621,88.340,88.466,88.466,88.847,88.593,88.593,88.086,88.466,88.086,88.213,88.213,88.213,87.959,87.326,89.987,90.368,89.987,84.157,84.157,84.157,87.326,87.326,87.706,87.579,87.452,86.692,86.692,86.692,88.593,88.593,88.466,88.593,88.847,90.368,90.368,90.368,90.368,89.227,89.354,89.354,89.354,89.354,89.354,89.607,,98.606,98.859,88.593,86.946
RMNH.INS.1271383_Ae_aegypti - COX3 CDS,82.129,82.256,82.510,84.537,84.284,84.537,89.861,89.861,89.987,87.199,87.072,86.946,82.636,82.636,82.763,86.439,86.058,86.058,84.918,84.791,84.918,87.579,87.326,87.452,85.425,85.425,85.425,90.241,89.861,89.987,90.114,90.241,90.241,87.706,87.833,87.833,88.466,88.213,88.213,87.199,87.833,87.199,87.579,87.579,87.579,87.452,87.072,89.227,89.861,89.227,83.650,83.650,83.650,87.072,87.072,86.819,86.692,86.565,86.565,86.565,86.565,87.706,87.706,87.579,88.847,89.100,89.861,89.987,89.987,89.987,89.607,88.973,88.973,88.973,89.100,89.100,89.100,98.606,,99.240,87.706,87.199
RMNH.INS.1271384_Ae_aegypti - COX3 CDS,82.510,82.636,82.636,84.918,84.664,84.918,89.987,89.987,90.114,87.199,87.072,86.946,82.763,82.763,82.890,86.312,85.932,85.932,85.425,85.298,85.425,87.959,87.706,87.833,85.551,85.551,85.551,90.621,90.241,90.368,90.494,90.621,90.368,87.833,87.959,87.959,88.973,88.720,88.720,87.706,87.959,87.706,87.833,87.833,87.833,87.706,87.072,89.480,89.861,89.480,83.904,83.904,83.904,87.072,87.072,86.946,86.819,86.692,86.565,86.565,86.565,88.213,88.213,88.086,89.100,89.354,89.861,90.368,90.368,90.368,89.734,89.227,89.227,89.227,89.227,89.227,89.227,98.859,99.240,,88.086,87.072
RMNH.INS.1271386_Ae_cinereus_geminus - COX3 CDS,84.030,84.157,84.157,85.805,85.551,85.805,89.354,89.354,89.480,87.199,87.072,87.199,83.397,83.397,83.270,84.791,84.664,84.791,86.692,86.692,86.692,99.113,99.366,99.240,86.312,86.312,86.312,89.607,89.734,89.734,89.480,89.480,89.480,87.959,87.833,87.833,87.706,87.579,87.579,87.833,87.833,87.833,87.326,87.326,87.326,86.819,87.072,88.340,88.340,88.213,83.523,83.523,83.523,87.072,87.072,85.678,85.551,85.425,85.805,85.805,85.805,89.227,89.227,89.100,87.959,87.833,88.340,88.847,88.847,88.973,87.833,87.959,87.959,87.959,87.326,87.326,87.833,88.593,87.706,88.086,,86.692
RMNH.INS.1271389_Cs_ochroptera - COX3 CDS,84.918,85.171,85.551,86.692,86.439,86.692,86.819,86.819,86.946,88.720,88.593,88.720,84.791,84.791,84.918,87.833,87.579,87.706,87.326,87.326,87.326,86.819,86.565,86.692,88.847,88.847,88.847,88.593,88.466,87.959,88.466,87.833,88.340,88.086,88.086,88.086,88.340,87.959,87.959,86.819,88.086,86.819,87.326,87.326,87.326,89.227,88.593,86.946,87.452,86.946,85.171,85.171,85.171,88.593,88.593,88.593,88.466,88.466,90.875,90.875,90.875,85.551,85.551,85.425,86.946,86.819,87.452,87.579,87.579,87.579,86.946,87.199,87.199,87.199,87.579,87.579,87.833,86.946,87.199,87.072,86.692,
