,RMNH.INS.1271298_An_messeae - ND3 gene,RMNH.INS.1271299_An_messeae - ND3 gene,RMNH.INS.1271300_An_messeae - ND3 gene,RMNH.INS.1271301_Cq_richiardii - ND3 gene,RMNH.INS.1271302_Cq_richiardii - ND3 gene,RMNH.INS.1271303_Cq_richiardii - ND3 gene,RMNH.INS.1271304_Ae_vexans - ND3 gene,RMNH.INS.1271305_Ae_vexans - ND3 gene,RMNH.INS.1271306_Ae_vexans - ND3 gene,RMNH.INS.1271307_Cs_annulata - ND3 gene,RMNH.INS.1271308_Cs_annulata - ND3 gene,RMNH.INS.1271309_Cs_annulata - ND3 gene,RMNH.INS.1271310_An_claviger - ND3 gene,RMNH.INS.1271311_An_claviger - ND3 gene,RMNH.INS.1271312_An_claviger - ND3 gene,RMNH.INS.1271313_Cx_modestus - ND3 gene,RMNH.INS.1271314_Cx_modestus - ND3 gene,RMNH.INS.1271315_Cx_modestus - ND3 gene,RMNH.INS.1271316_Cx_territans - ND3 gene,RMNH.INS.1271317_Cx_territans - ND3 gene,RMNH.INS.1271318_Cx_territans - ND3 gene,RMNH.INS.1271319_Ae_cinereus - ND3 gene,RMNH.INS.1271320_Ae_cinereus - ND3 gene,RMNH.INS.1271321_Ae_cinereus - ND3 gene,RMNH.INS.1271322_Cs_longiareolata - ND3 gene,RMNH.INS.1271323_Cs_longiareolata - ND3 gene,RMNH.INS.1271324_Cs_longiareolata - ND3 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271331_Ae_rusticus - ND3 gene,RMNH.INS.1271332_Ae_rusticus - ND3 gene,RMNH.INS.1271333_Ae_rusticus - ND3 gene,RMNH.INS.1271334_Ae_communis - ND3 gene,RMNH.INS.1271335_Ae_communis - ND3 gene,RMNH.INS.1271336_Ae_communis - ND3 gene,RMNH.INS.1271337_Ae_punctor - ND3 gene,RMNH.INS.1271338_Ae_rusticus - ND3 gene,RMNH.INS.1271339_Ae_punctor - ND3 gene,RMNH.INS.1271340_Ae_geniculatus - ND3 gene,RMNH.INS.1271341_Ae_geniculatus - ND3 gene,RMNH.INS.1271342_Ae_geniculatus - ND3 gene,RMNH.INS.1271344_Cs_subochrea - ND3 gene,RMNH.INS.1271345_Cs_annulata - ND3 gene,RMNH.INS.1271346_Ae_caspius - ND3 gene,RMNH.INS.1271347_Ae_caspius - ND3 gene,RMNH.INS.1271348_Ae_caspius - ND3 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271352_Cs_annulata - ND3 gene,RMNH.INS.1271354_Cs_annulata - ND3 gene,RMNH.INS.1271355_Cx_pipiens - ND3 gene,RMNH.INS.1271356_Cx_pipiens - ND3 gene,RMNH.INS.1271357_Cx_pipiens - ND3 gene,RMNH.INS.1271358_Cs_morsitans - ND3 gene,RMNH.INS.1271359_Cs_morsitans - ND3 gene,RMNH.INS.1271360_Cs_morsitans - ND3 gene,RMNH.INS.1271361_Ae_sticticus - ND3 gene,RMNH.INS.1271362_Ae_sticticus - ND3 gene,RMNH.INS.1271363_Ae_sticticus - ND3 gene,RMNH.INS.1271367_Ae_detritus - ND3 gene,RMNH.INS.1271368_Ae_detritus - ND3 gene,RMNH.INS.1271369_Ae_caspius - ND3 gene,RMNH.INS.1271370_Ae_flavescens - ND3 gene,RMNH.INS.1271371_Ae_flavescens - ND3 gene,RMNH.INS.1271372_Ae_flavescens - ND3 gene,RMNH.INS.1271375_Ae_leucomelas - ND3 gene,RMNH.INS.1271376_Ae_albopictus - ND3 gene,RMNH.INS.1271377_Ae_albopictus - ND3 gene,RMNH.INS.1271378_Ae_albopictus - ND3 gene,RMNH.INS.1271379_Ae_japonicus - ND3 gene,RMNH.INS.1271380_Ae_japonicus - ND3 gene,RMNH.INS.1271381_Ae_japonicus - ND3 gene,RMNH.INS.1271382_Ae_aegypti - ND3 gene,RMNH.INS.1271383_Ae_aegypti - ND3 gene,RMNH.INS.1271384_Ae_aegypti - ND3 gene,RMNH.INS.1271386_Ae_cinereus - ND3 gene,RMNH.INS.1271389_Cs_ochroptera - ND3 gene
RMNH.INS.1271359_Cs_morsitans - ND3 gene,82.203,82.203,82.203,84.746,85.028,85.028,88.418,88.418,88.418,91.597,91.597,90.756,84.181,84.746,84.463,89.636,89.356,89.076,89.266,89.266,89.266,87.115,87.395,87.395,88.235,88.235,88.235,87.853,87.571,87.571,87.853,88.418,88.418,88.136,88.418,87.853,85.311,85.593,85.593,86.441,88.136,86.441,87.006,87.006,87.006,89.916,91.597,87.571,87.571,87.288,82.203,82.203,82.203,91.597,91.597,88.796,88.796,88.796,100,,100,86.723,86.723,86.723,87.853,88.136,87.571,87.006,87.006,87.006,85.311,89.744,89.744,89.744,86.441,86.441,86.723,87.749,87.853,87.853,87.395,93.557
RMNH.INS.1271360_Cs_morsitans - ND3 gene,82.203,82.203,82.203,84.746,85.028,85.028,88.418,88.418,88.418,91.597,91.597,90.756,84.181,84.746,84.463,89.636,89.356,89.076,89.266,89.266,89.266,87.115,87.395,87.395,88.235,88.235,88.235,87.853,87.571,87.571,87.853,88.418,88.418,88.136,88.418,87.853,85.311,85.593,85.593,86.441,88.136,86.441,87.006,87.006,87.006,89.916,91.597,87.571,87.571,87.288,82.203,82.203,82.203,91.597,91.597,88.796,88.796,88.796,100,100,,86.723,86.723,86.723,87.853,88.136,87.571,87.006,87.006,87.006,85.311,89.744,89.744,89.744,86.441,86.441,86.723,87.749,87.853,87.853,87.395,93.557
RMNH.INS.1271361_Ae_sticticus - ND3 gene,83.051,82.486,83.051,83.898,83.898,83.898,90.678,90.678,90.678,88.701,88.701,88.418,84.181,84.463,84.181,86.441,85.876,85.311,86.158,86.158,86.158,91.243,90.96,90.96,88.701,88.701,88.701,90.96,90.678,91.808,90.96,90.96,90.96,91.808,92.09,91.808,88.701,88.983,88.983,88.983,91.808,88.983,90.678,90.678,90.678,87.288,88.701,92.09,92.09,92.09,82.203,82.203,82.203,88.701,88.701,86.158,86.158,86.158,86.723,86.723,86.723,,100,100,91.243,91.525,92.09,91.243,91.243,91.243,89.831,90.598,90.598,90.598,87.571,87.571,88.136,89.744,90.113,89.831,90.96,85.876
RMNH.INS.1271362_Ae_sticticus - ND3 gene,83.051,82.486,83.051,83.898,83.898,83.898,90.678,90.678,90.678,88.701,88.701,88.418,84.181,84.463,84.181,86.441,85.876,85.311,86.158,86.158,86.158,91.243,90.96,90.96,88.701,88.701,88.701,90.96,90.678,91.808,90.96,90.96,90.96,91.808,92.09,91.808,88.701,88.983,88.983,88.983,91.808,88.983,90.678,90.678,90.678,87.288,88.701,92.09,92.09,92.09,82.203,82.203,82.203,88.701,88.701,86.158,86.158,86.158,86.723,86.723,86.723,100,,100,91.243,91.525,92.09,91.243,91.243,91.243,89.831,90.598,90.598,90.598,87.571,87.571,88.136,89.744,90.113,89.831,90.96,85.876
RMNH.INS.1271363_Ae_sticticus - ND3 gene,83.051,82.486,83.051,83.898,83.898,83.898,90.678,90.678,90.678,88.701,88.701,88.418,84.181,84.463,84.181,86.441,85.876,85.311,86.158,86.158,86.158,91.243,90.96,90.96,88.701,88.701,88.701,90.96,90.678,91.808,90.96,90.96,90.96,91.808,92.09,91.808,88.701,88.983,88.983,88.983,91.808,88.983,90.678,90.678,90.678,87.288,88.701,92.09,92.09,92.09,82.203,82.203,82.203,88.701,88.701,86.158,86.158,86.158,86.723,86.723,86.723,100,100,,91.243,91.525,92.09,91.243,91.243,91.243,89.831,90.598,90.598,90.598,87.571,87.571,88.136,89.744,90.113,89.831,90.96,85.876
RMNH.INS.1271367_Ae_detritus - ND3 gene,82.486,81.921,81.921,83.898,84.181,84.181,93.503,93.503,93.503,90.113,90.113,90.395,85.311,85.876,85.593,87.853,87.006,87.571,88.418,88.418,88.418,91.243,90.96,90.96,88.983,88.983,88.983,94.915,94.633,95.48,94.915,95.198,95.198,93.22,93.503,92.938,91.525,92.09,92.09,90.678,93.22,90.678,94.633,94.633,94.633,90.113,90.113,94.633,94.633,94.633,82.203,82.203,82.203,90.113,90.113,88.136,88.136,88.136,87.853,87.853,87.853,91.243,91.243,91.243,,99.718,94.633,94.068,94.068,94.068,92.373,91.168,91.168,91.168,89.548,89.548,90.113,90.598,90.678,90.96,90.96,87.288
RMNH.INS.1271368_Ae_detritus - ND3 gene,82.768,82.203,82.203,84.181,84.463,84.463,93.785,93.785,93.785,90.395,90.395,90.678,85.593,86.158,85.876,88.136,87.288,87.853,88.701,88.701,88.701,91.525,91.243,91.243,89.266,89.266,89.266,95.198,94.915,95.763,95.198,95.48,95.48,92.938,93.22,92.655,91.808,92.373,92.373,90.96,92.938,90.96,94.915,94.915,94.915,90.395,90.395,94.915,94.915,94.915,82.486,82.486,82.486,90.395,90.395,88.418,88.418,88.418,88.136,88.136,88.136,91.525,91.525,91.525,99.718,,94.915,94.35,94.35,94.35,92.655,91.453,91.453,91.453,89.831,89.831,90.395,90.883,90.96,91.243,91.243,87.571
RMNH.INS.1271369_Ae_caspius - ND3 gene,85.311,84.746,85.311,86.723,87.006,87.006,95.198,95.198,95.198,90.395,90.395,90.113,84.746,85.311,85.028,90.395,90.113,89.548,90.96,90.96,90.96,93.22,93.503,93.503,90.395,90.395,90.395,95.763,95.48,95.763,95.763,95.48,95.48,95.48,95.763,95.198,92.938,93.503,93.503,91.525,95.48,91.525,94.068,94.068,94.068,90.113,90.395,99.435,100,99.153,83.898,83.898,83.898,90.395,90.395,91.808,91.808,91.808,87.571,87.571,87.571,92.09,92.09,92.09,94.633,94.915,,95.48,95.48,95.48,93.22,92.308,92.308,92.308,88.136,88.136,88.701,91.453,92.09,91.808,93.503,88.136
RMNH.INS.1271370_Ae_flavescens - ND3 gene,84.181,83.616,83.616,85.028,85.311,85.311,93.503,93.503,93.503,90.395,90.395,90.113,82.486,83.051,82.768,87.853,87.288,87.006,87.853,87.853,87.853,92.655,92.938,92.938,89.266,89.266,89.266,97.458,97.175,98.023,97.458,98.305,98.305,93.503,93.785,93.22,91.525,92.09,92.09,90.395,93.503,90.395,93.503,93.503,93.503,89.831,90.395,95.48,95.48,95.48,82.203,82.203,82.203,90.395,90.395,88.701,88.701,88.701,87.006,87.006,87.006,91.243,91.243,91.243,94.068,94.35,95.48,,100,100,92.938,90.883,90.883,90.883,89.266,89.266,89.831,90.028,90.678,90.395,92.938,86.723
RMNH.INS.1271371_Ae_flavescens - ND3 gene,84.181,83.616,83.616,85.028,85.311,85.311,93.503,93.503,93.503,90.395,90.395,90.113,82.486,83.051,82.768,87.853,87.288,87.006,87.853,87.853,87.853,92.655,92.938,92.938,89.266,89.266,89.266,97.458,97.175,98.023,97.458,98.305,98.305,93.503,93.785,93.22,91.525,92.09,92.09,90.395,93.503,90.395,93.503,93.503,93.503,89.831,90.395,95.48,95.48,95.48,82.203,82.203,82.203,90.395,90.395,88.701,88.701,88.701,87.006,87.006,87.006,91.243,91.243,91.243,94.068,94.35,95.48,100,,100,92.938,90.883,90.883,90.883,89.266,89.266,89.831,90.028,90.678,90.395,92.938,86.723
RMNH.INS.1271372_Ae_flavescens - ND3 gene,84.181,83.616,83.616,85.028,85.311,85.311,93.503,93.503,93.503,90.395,90.395,90.113,82.486,83.051,82.768,87.853,87.288,87.006,87.853,87.853,87.853,92.655,92.938,92.938,89.266,89.266,89.266,97.458,97.175,98.023,97.458,98.305,98.305,93.503,93.785,93.22,91.525,92.09,92.09,90.395,93.503,90.395,93.503,93.503,93.503,89.831,90.395,95.48,95.48,95.48,82.203,82.203,82.203,90.395,90.395,88.701,88.701,88.701,87.006,87.006,87.006,91.243,91.243,91.243,94.068,94.35,95.48,100,100,,92.938,90.883,90.883,90.883,89.266,89.266,89.831,90.028,90.678,90.395,92.938,86.723
RMNH.INS.1271375_Ae_leucomelas - ND3 gene,81.073,80.508,81.073,84.463,84.746,84.746,91.525,91.525,91.525,86.441,86.441,86.158,81.921,82.486,82.203,87.288,87.006,86.723,87.006,87.006,87.006,90.96,90.678,90.678,87.288,87.288,87.288,93.785,93.503,93.785,93.785,93.503,93.503,91.525,91.808,91.243,90.96,90.96,90.96,89.831,91.525,89.831,91.808,91.808,91.808,86.723,86.441,93.22,93.22,93.22,81.356,81.356,81.356,86.441,86.441,87.571,87.571,87.571,85.311,85.311,85.311,89.831,89.831,89.831,92.373,92.655,93.22,92.938,92.938,92.938,,89.174,89.174,89.174,87.288,87.288,87.853,89.459,90.113,89.831,90.678,85.876
RMNH.INS.1271376_Ae_albopictus - ND3 gene,86.325,85.755,85.755,85.47,85.47,85.47,94.017,94.017,94.017,89.744,89.744,89.459,84.9,85.185,84.9,89.459,88.604,87.464,88.319,88.319,88.319,91.738,92.023,92.023,90.598,90.598,90.598,91.453,91.168,91.168,91.453,91.453,91.453,90.883,91.168,90.883,88.889,88.889,88.889,88.034,90.883,88.034,91.738,91.738,91.738,88.604,89.744,92.308,92.308,92.023,83.476,83.476,83.476,89.744,89.744,89.174,89.174,89.174,89.744,89.744,89.744,90.598,90.598,90.598,91.168,91.453,92.308,90.883,90.883,90.883,89.174,,100,100,87.749,87.749,88.319,92.023,92.023,92.023,92.023,88.604
RMNH.INS.1271377_Ae_albopictus - ND3 gene,86.325,85.755,85.755,85.47,85.47,85.47,94.017,94.017,94.017,89.744,89.744,89.459,84.9,85.185,84.9,89.459,88.604,87.464,88.319,88.319,88.319,91.738,92.023,92.023,90.598,90.598,90.598,91.453,91.168,91.168,91.453,91.453,91.453,90.883,91.168,90.883,88.889,88.889,88.889,88.034,90.883,88.034,91.738,91.738,91.738,88.604,89.744,92.308,92.308,92.023,83.476,83.476,83.476,89.744,89.744,89.174,89.174,89.174,89.744,89.744,89.744,90.598,90.598,90.598,91.168,91.453,92.308,90.883,90.883,90.883,89.174,100,,100,87.749,87.749,88.319,92.023,92.023,92.023,92.023,88.604
RMNH.INS.1271378_Ae_albopictus - ND3 gene,86.325,85.755,85.755,85.47,85.47,85.47,94.017,94.017,94.017,89.744,89.744,89.459,84.9,85.185,84.9,89.459,88.604,87.464,88.319,88.319,88.319,91.738,92.023,92.023,90.598,90.598,90.598,91.453,91.168,91.168,91.453,91.453,91.453,90.883,91.168,90.883,88.889,88.889,88.889,88.034,90.883,88.034,91.738,91.738,91.738,88.604,89.744,92.308,92.308,92.023,83.476,83.476,83.476,89.744,89.744,89.174,89.174,89.174,89.744,89.744,89.744,90.598,90.598,90.598,91.168,91.453,92.308,90.883,90.883,90.883,89.174,100,100,,87.749,87.749,88.319,92.023,92.023,92.023,92.023,88.604
RMNH.INS.1271379_Ae_japonicus - ND3 gene,78.531,78.531,78.531,82.203,82.486,82.486,87.853,87.853,87.853,85.876,85.876,85.593,81.356,81.921,81.638,84.746,85.028,85.028,86.723,86.723,86.723,87.571,87.288,87.288,86.441,86.441,86.441,88.983,88.701,89.548,88.983,89.266,89.266,89.266,88.983,88.983,85.311,85.593,85.593,85.311,89.266,85.311,90.395,90.395,90.395,85.028,85.876,88.701,88.136,88.701,80.226,80.226,80.226,85.876,85.876,85.311,85.311,85.311,86.441,86.441,86.441,87.571,87.571,87.571,89.548,89.831,88.136,89.266,89.266,89.266,87.288,87.749,87.749,87.749,,100,99.435,88.034,87.853,88.136,87.288,86.723
RMNH.INS.1271380_Ae_japonicus - ND3 gene,78.531,78.531,78.531,82.203,82.486,82.486,87.853,87.853,87.853,85.876,85.876,85.593,81.356,81.921,81.638,84.746,85.028,85.028,86.723,86.723,86.723,87.571,87.288,87.288,86.441,86.441,86.441,88.983,88.701,89.548,88.983,89.266,89.266,89.266,88.983,88.983,85.311,85.593,85.593,85.311,89.266,85.311,90.395,90.395,90.395,85.028,85.876,88.701,88.136,88.701,80.226,80.226,80.226,85.876,85.876,85.311,85.311,85.311,86.441,86.441,86.441,87.571,87.571,87.571,89.548,89.831,88.136,89.266,89.266,89.266,87.288,87.749,87.749,87.749,100,,99.435,88.034,87.853,88.136,87.288,86.723
RMNH.INS.1271381_Ae_japonicus - ND3 gene,79.096,79.096,79.096,82.768,83.051,83.051,88.418,88.418,88.418,86.158,86.158,85.876,81.638,82.203,81.921,85.311,85.028,85.028,87.288,87.288,87.288,88.136,87.853,87.853,87.006,87.006,87.006,89.548,89.266,90.113,89.548,89.831,89.831,89.266,89.548,88.983,85.876,86.158,86.158,85.876,89.266,85.876,90.96,90.96,90.96,85.311,86.158,88.701,88.701,88.701,80.508,80.508,80.508,86.158,86.158,85.311,85.311,85.311,86.723,86.723,86.723,88.136,88.136,88.136,90.113,90.395,88.701,89.831,89.831,89.831,87.853,88.319,88.319,88.319,99.435,99.435,,88.604,88.418,88.701,87.853,87.006
RMNH.INS.1271382_Ae_aegypti - ND3 gene,85.47,85.185,85.755,86.325,86.325,86.325,92.308,92.308,92.308,89.174,89.174,88.319,84.9,85.47,85.185,87.464,86.895,86.325,88.604,88.604,88.604,90.883,90.598,90.598,90.313,90.313,90.313,90.598,90.313,90.883,90.598,91.168,91.168,90.883,91.168,90.598,89.744,90.028,90.028,89.174,90.883,89.174,91.453,91.453,91.453,87.179,89.174,91.453,91.453,91.168,84.046,84.046,84.046,89.174,89.174,88.034,88.034,88.034,87.749,87.749,87.749,89.744,89.744,89.744,90.598,90.883,91.453,90.028,90.028,90.028,89.459,92.023,92.023,92.023,88.034,88.034,88.604,,99.145,99.715,90.598,88.319
RMNH.INS.1271383_Ae_aegypti - ND3 gene,85.593,85.311,85.876,86.441,86.441,86.441,92.655,92.655,92.655,89.266,89.266,88.418,84.463,85.028,84.746,87.853,87.288,86.723,88.983,88.983,88.983,90.96,90.678,90.678,90.113,90.113,90.113,91.243,90.96,91.525,91.243,91.808,91.808,91.243,91.525,90.96,89.548,89.831,89.831,88.983,91.243,88.983,91.525,91.525,91.525,87.571,89.266,92.09,92.09,91.808,83.333,83.333,83.333,89.266,89.266,88.418,88.418,88.418,87.853,87.853,87.853,90.113,90.113,90.113,90.678,90.96,92.09,90.678,90.678,90.678,90.113,92.023,92.023,92.023,87.853,87.853,88.418,99.145,,99.435,90.678,88.136
RMNH.INS.1271384_Ae_aegypti - ND3 gene,85.593,85.311,85.876,86.441,86.441,86.441,92.655,92.655,92.655,89.266,89.266,88.418,85.028,85.593,85.311,87.853,87.288,86.723,88.983,88.983,88.983,90.96,90.678,90.678,90.678,90.678,90.678,90.96,90.678,91.243,90.96,91.525,91.525,91.243,91.525,90.96,90.113,90.395,90.395,89.548,91.243,89.548,91.808,91.808,91.808,87.571,89.266,91.808,91.808,91.525,83.898,83.898,83.898,89.266,89.266,88.418,88.418,88.418,87.853,87.853,87.853,89.831,89.831,89.831,90.96,91.243,91.808,90.395,90.395,90.395,89.831,92.023,92.023,92.023,88.136,88.136,88.701,99.715,99.435,,90.678,88.136
RMNH.INS.1271386_Ae_cinereus - ND3 gene,84.463,83.898,84.463,85.311,85.311,85.311,91.525,91.525,91.525,89.076,89.076,88.796,83.051,83.616,83.333,89.076,88.796,88.235,87.571,87.571,87.571,99.72,100,100,89.636,89.636,89.636,93.503,93.22,93.785,93.503,93.503,93.503,92.938,93.22,92.655,90.113,90.113,90.113,89.266,92.938,89.266,91.808,91.808,91.808,87.395,89.076,93.503,93.503,93.22,83.333,83.333,83.333,89.076,89.076,89.076,89.076,89.076,87.395,87.395,87.395,90.96,90.96,90.96,90.96,91.243,93.503,92.938,92.938,92.938,90.678,92.023,92.023,92.023,87.288,87.288,87.853,90.598,90.678,90.678,,86.835
RMNH.INS.1271389_Cs_ochroptera - ND3 gene,82.486,82.486,82.486,85.311,85.593,85.593,88.418,88.418,88.418,91.317,91.317,89.916,83.898,84.463,84.181,88.235,87.955,87.675,88.136,88.136,88.136,87.115,86.835,86.835,87.675,87.675,87.675,87.853,87.571,88.136,87.853,87.853,87.853,88.136,88.418,87.853,86.441,87.006,87.006,86.158,88.136,86.158,86.441,86.441,86.441,89.076,91.317,88.136,88.136,87.853,83.898,83.898,83.898,91.317,91.317,89.076,89.076,89.076,93.557,93.557,93.557,85.876,85.876,85.876,87.288,87.571,88.136,86.723,86.723,86.723,85.876,88.604,88.604,88.604,86.723,86.723,87.006,88.319,88.136,88.136,86.835,
